uid,client_name,client_ip,sender_ip,client_timestamp,client_lat,client_long,event_type
59833,pidrive,0.0.0.0,192.168.1.23,1402843580,40.637743,-89.475752,3
59834,pidrive,,,1402843580,40.637743,-89.475752,0
59835,pidrive,0.0.0.0,192.168.1.23,1402843580,40.637743,-89.475752,1
59836,pidrive,0.0.0.0,192.168.1.23,1402843580,40.637743,-89.475752,2
59837,pidrive,0.0.0.0,192.168.1.23,1402843580,40.637743,-89.475752,3
59838,pidrive,,,1402843581,40.637698,-89.475741,0
58881,pidrive,192.168.1.65,,1402843582,40.637628,-89.475729,4
59839,pidrive,0.0.0.0,192.168.1.23,1402843582,40.637628,-89.475729,1
59840,pidrive,0.0.0.0,192.168.1.23,1402843582,40.637628,-89.475729,2
59841,pidrive,0.0.0.0,192.168.1.23,1402843582,40.637628,-89.475729,3
59842,pidrive,,,1402843582,40.637628,-89.475729,0
58882,pidrive,192.168.1.65,,1402843583,40.637557,-89.475730,4
59843,pidrive,0.0.0.0,192.168.1.23,1402843583,40.637557,-89.475730,1
59844,pidrive,,,1402843583,40.637557,-89.475730,0
59845,pidrive,0.0.0.0,192.168.1.23,1402843583,40.637557,-89.475730,2
59847,pidrive,0.0.0.0,192.168.1.23,1402843583,40.637557,-89.475730,3
58883,pidrive,192.168.1.65,,1402843584,40.637487,-89.475730,4
59848,pidrive,,,1402843584,40.637487,-89.475730,0
59849,pidrive,0.0.0.0,192.168.1.23,1402843584,40.637487,-89.475730,1
59850,pidrive,0.0.0.0,192.168.1.23,1402843584,40.637487,-89.475730,2
59851,pidrive,0.0.0.0,192.168.1.23,1402843584,40.637487,-89.475730,3
58884,pidrive,192.168.1.65,,1402843585,40.637404,-89.475731,4
59852,pidrive,,,1402843585,40.637404,-89.475731,0
59853,pidrive,0.0.0.0,192.168.1.23,1402843585,40.637404,-89.475731,1
59854,pidrive,0.0.0.0,192.168.1.23,1402843585,40.637404,-89.475731,2
59855,pidrive,0.0.0.0,192.168.1.23,1402843585,40.637404,-89.475731,3
58885,pidrive,192.168.1.65,,1402843586,40.637321,-89.475732,4
59856,pidrive,,,1402843586,40.637321,-89.475732,0
59857,pidrive,0.0.0.0,192.168.1.23,1402843586,40.637321,-89.475732,1
59858,pidrive,0.0.0.0,192.168.1.23,1402843586,40.637321,-89.475732,2
